SUMMARY
Performance of the best performing model for different configurations:



With specification {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 367540.688120133, with accuracy 0.7689750692520776.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 333539.16368540196, with accuracy 0.775438596491228.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 14% with Winkler score of 329779.41074226244, with accuracy 0.766943674976916.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 14% with Winkler score of 332290.99543480325, with accuracy 0.765466297322253.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 330614.3071083732, with accuracy 0.7676823638042475.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 340121.2718788693, with accuracy 0.7819021237303786.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 342365.76156088413, with accuracy 0.7771006463527239.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 338070.8926182949, with accuracy 0.7894736842105263.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 357787.50847051694, with accuracy 0.7545706371191135.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 363749.5751989504, with accuracy 0.7859649122807018.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 331141.08779283543, with accuracy 0.7724838411819022.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 11% with Winkler score of 330787.615343984, with accuracy 0.7879963065558634.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 11% with Winkler score of 335226.75230509177, with accuracy 0.7846722068328716.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 331318.34683210624, with accuracy 0.7584487534626039.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 341098.1413684684, with accuracy 0.7807940904893813.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 344625.4329236254, with accuracy 0.7710064635272391.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 338070.8926182949, with accuracy 0.7894736842105263.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 357787.50847051694, with accuracy 0.7545706371191135.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 363749.5751989504, with accuracy 0.7859649122807018.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 334127.5080412533, with accuracy 0.7667590027700831.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 343898.5761586869, with accuracy 0.762511542012927.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 344740.9436459947, with accuracy 0.7608494921514312.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 9% with Winkler score of 336557.1709662598, with accuracy 0.7569713758079409.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 352239.42139369465, with accuracy 0.7820867959372114.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 353958.89221519907, with accuracy 0.7698984302862419.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 340765.1998188061, with accuracy 0.7771006463527239.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 357975.34674509894, with accuracy 0.7471837488457987.

With specification {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 5% with Winkler score of 364372.0268385664, with accuracy 0.7822714681440444.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 331948.3797358054, with accuracy 0.7852262234533702.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 14% with Winkler score of 329810.34347293276, with accuracy 0.7687903970452447.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 14% with Winkler score of 327615.0303016564, with accuracy 0.7743305632502309.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 328909.85250667174, with accuracy 0.7767313019390581.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 11% with Winkler score of 337020.9347622631, with accuracy 0.7530932594644506.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 342557.3407919952, with accuracy 0.7868882733148661.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 336450.254129638, with accuracy 0.8009233610341644.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 353243.40357073926, with accuracy 0.7608494921514312.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 360024.8427279063, with accuracy 0.7505078485687904.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 328282.86403872404, with accuracy 0.7778393351800554.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}, the best Winkler score is obtained at 11% with Winkler score of 329646.05944387073, with accuracy 0.7975992613111726.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}, the best Winkler score is obtained at 11% with Winkler score of 330654.1316707308, with accuracy 0.7933518005540167.

