Geo Point,ICC,city name,NAMA1,NLN1,latitude,longitude,zipCode,province,zipcode_first_digit
"50.68307149999984, 4.375275499999788",BE,Braine-l'Alleud,Braine-l'Alleud,FRE,50.68307149999984,4.375275499999788,0,,0
"51.28238349999984, 4.434478999999783",BE,Ekeren,Ekeren,DUT,51.28238349999984,4.434478999999783,2180,Antwerpen,2
"50.544155499999846, 4.011929999999808",BE,Neufville,Neufville,FRE,50.544155499999846,4.011929999999808,0,,0
"49.707065999999855, 5.333067999999797",BE,Florenville,Florenville,FRE,49.707065999999855,5.333067999999797,6820,Luxemburg,6
"50.557034499999844, 4.696695999999804",BE,Chapelle-Dieu,Chapelle-Dieu,FRE,50.557034499999844,4.696695999999804,0,,0
"51.08775799999983, 3.718746499999809",BE,Wondelgem,Wondelgem,DUT,51.08775799999983,3.718746499999809,9032,Oost-Vlaanderen,9
"51.03826599999985, 5.280301499999808",BE,Heusden,Heusden,DUT,51.03826599999985,5.280301499999808,3550,Limburg,3
"51.03826599999985, 5.280301499999808",BE,Heusden,Heusden,DUT,51.03826599999985,5.280301499999808,9070,Oost-Vlaanderen,9
"50.470608499999855, 3.955486499999807",BE,Nimy,Nimy,FRE,50.470608499999855,3.955486499999807,7020,Henegouwen,7
"50.61977399999983, 5.530840999999782",BE,Pont-de-Seraing,Pont-de-Seraing,FRE,50.61977399999983,5.530840999999782,0,,0
"50.573822499999835, 5.686927999999796",BE,Trooz,Trooz,FRE,50.573822499999835,5.686927999999796,0,,0
"50.887451499999855, 4.418461999999806",BE,Haren,Haren,DUT,50.887451499999855,4.418461999999806,3700,Limburg,3
"50.887451499999855, 4.418461999999806",BE,Haren,Haren,DUT,50.887451499999855,4.418461999999806,3840,Limburg,3
"50.887451499999855, 4.418461999999806",BE,Haren,Haren,DUT,50.887451499999855,4.418461999999806,1130,Brussel,1
"50.62734699999984, 3.779262999999787",BE,Ath,Ath,FRE,50.62734699999984,3.779262999999787,7800,Henegouwen,7
"50.91146149999983, 3.989882999999793",BE,Ede,Ede,DUT,50.91146149999983,3.989882999999793,0,,0
"50.86990449999985, 5.50965149999979",BE,Bilzen,Bilzen,DUT,50.86990449999985,5.50965149999979,3740,Limburg,3
"50.26254699999984, 5.122918499999797",BE,Chapois,Chapois,FRE,50.26254699999984,5.122918499999797,0,,0
"50.71591249999983, 4.603145499999783",BE,Wavre,Wavre,FRE,50.71591249999983,4.603145499999783,1300,Waals-Brabant,1
"50.34299899999985, 4.28967799999981",BE,Thuin,Thuin,FRE,50.34299899999985,4.28967799999981,6530,Henegouwen,6
"51.00291849999985, 4.866608499999785",BE,Langdorp,Langdorp,DUT,51.00291849999985,4.866608499999785,3201,Vlaams-Brabant,3
"50.80031599999984, 3.112943499999801",BE,Menen,Menen,DUT,50.80031599999984,3.112943499999801,8930,West-Vlaanderen,8
"50.45286599999983, 4.694223999999792",BE,Moustier,Moustier,FRE,50.45286599999983,4.694223999999792,7911,Henegouwen,7
"51.19757499999983, 3.216030499999789",BE,Brugge,Brugge,DUT,51.19757499999983,3.216030499999789,8000,West-Vlaanderen,8
"50.506084999999835, 4.234594499999787",BE,Manage,Manage,FRE,50.506084999999835,4.234594499999787,7170,Henegouwen,7
"50.884235999999845, 4.471071499999794",BE,Zaventem,Zaventem,DUT,50.884235999999845,4.471071499999794,1930,Vlaams-Brabant,1
"50.78201899999985, 3.048583499999808",BE,Wervik,Wervik,DUT,50.78201899999985,3.048583499999808,8940,West-Vlaanderen,8
"49.71838849999983, 5.632644",BE,Habay,Habay,FRE,49.71838849999983,5.632644,0,,0
"51.180671999999845, 4.826960999999784",BE,Herentals,Herentals,DUT,51.180671999999845,4.826960999999784,2200,Antwerpen,2
"51.037941499999846, 4.772241999999806",BE,Booischot,Booischot,DUT,51.037941499999846,4.772241999999806,2221,Antwerpen,2
"50.55368849999985, 5.330675999999784",BE,Haute-Flône,Haute-Flone,FRE,50.55368849999985,5.330675999999784,0,,0
"50.891365499999836, 3.857736499999789",BE,Hillegem,Hillegem,DUT,50.891365499999836,3.857736499999789,9550,Oost-Vlaanderen,9
"51.13763099999982, 4.338623499999784",BE,Hemiksem,Hemiksem,DUT,51.13763099999982,4.338623499999784,2620,Antwerpen,2
"50.953979999999824, 5.3455914999997844",BE,Keiwit,Keiwit,DUT,50.953979999999824,5.3455914999997844,0,,0
"51.17415299999985, 4.900761999999787",BE,Olen,Olen,DUT,51.17415299999985,4.900761999999787,2250,Antwerpen,2
"50.73930399999983, 3.226783499999812",BE,Mouscron,Mouscron,FRE,50.73930399999983,3.226783499999812,0,,0
"50.902828999999855, 4.051391999999794",BE,Welle,Welle,DUT,50.902828999999855,4.051391999999794,9473,Oost-Vlaanderen,9
"50.66436099999984, 5.396496999999783",BE,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,FRE,50.66436099999984,5.396496999999783,0,,0
"50.97509049999985, 4.186397999999798",BE,Opwijk,Opwijk,DUT,50.97509049999985,4.186397999999798,1745,Vlaams-Brabant,1
"50.87145299999983, 3.624263999999783",BE,Eine,Eine,DUT,50.87145299999983,3.624263999999783,9700,Oost-Vlaanderen,9
