name,lon,lat
Keerbergen Klein Kontich,4.6494227,51.015041
Putte Grensstraat,4.6469025,51.0200426
Putte Wolzakken,4.6375457,51.0289743
Putte Tinstraat,4.6347513,51.0418599
Putte Schaapstraat,4.6310569,51.0502294
Putte Centrum,4.6291269,51.0538625
Bevel Itegemsesteenweg,4.6921429,51.1327934
Bevel Kerk,4.6831693,51.1366725
Bevel Binnenhof,4.6836326,51.1400363
Bevel Kontersland,4.6832368,51.1434643
Nijlen Lege Baan,4.6772874,51.1492806
Heverlee Ambachtenlaan,4.719342,50.8504302
Bevel Kontersland,4.682307,51.1437418
Bevel Binnenhof,4.6826416,51.1396318
Bevel Kerk,4.6832069,51.1365731
Bevel Itegemsesteenweg,4.6917292,51.1327797
Beerzel Berg,4.6767979,51.0601784
Putte Weg op Schriek,4.6545623,51.0203898
Keerbergen Klein Kontich,4.6492556,51.0150294
Keerbergen Oude Putsebaan,4.6464992,51.0015339
Keerbergen Oude Putsebaan,4.6468135,51.001394
Keerbergen Koekoekdreef,4.6464052,50.9983168
Tildonk Wakkerzeel Spieke,4.6738088,50.9562816
Leuven Vaartvest,4.7070247,50.8881984
Leuven Dijledreef,4.70705,50.8938
Wilsele Zwaaikom,4.7070453,50.8965814
Tildonk Wakkerzeel Kesterveldstraat,4.6793967,50.9482687
Putte Grasheide Scholen,4.6568473,51.0271499
Putte Langendijk,4.6583165,51.0315257
Beerzel Berg,4.6768239,51.0600359
Beerzel Kroonstraat,4.6852241,51.0663406
Kessel Jagershuis,4.6485655,51.1507251
Kessel Hoenderstraat,4.6400801,51.1491384
Kessel Smoutmolendreef,4.6331952,51.1415181
Kessel Vorst,4.6186548,51.1391949
Kessel Salvatorbaan,4.6121202,51.1389116
Lier Veemarkt,4.5828146,51.1286616
Lier Veemarkt,4.582269,51.1273887
Lier Hoogveldweg,4.5782427,51.1244793
Lier Akkerstraat,4.5747979,51.1232285
Lier Ceciliastraat,4.5661648,51.1200262
Lier Wolfsleikapel,4.5590816,51.1132186
Duffel Itterbeek,4.5513929,51.1082778
Duffel Naalstraat,4.5072995,51.0864632
Duffel Varestraat,4.5003203,51.0828961
Sint-Katelijne-Waver Albertstraat,4.4797899,51.0608854
Sint-Katelijne-Waver Schouwvelden,4.4809719,51.063874
Sint-Katelijne-Waver Lange Zandstraat,4.4867235,51.0695892
Duffel Dijkstaplei,4.4913912,51.0775494
Mechelen Groot Veld,4.480269,51.051282
Mechelen Duivenstraat,4.4794819,51.0482257
Mechelen Oude Liersebaan,4.47743,51.0419
Mechelen Kerkhoflei,4.480348,51.038346
Mechelen Caputsteenstraat,4.4833224,51.0340524
Mechelen Mechelsveld,4.4730769,51.0141032
Mechelen Europalaan,4.4757737,51.012448
Zemst Den Arm,4.4595317,50.9797362
Zemst Gulden Boom,4.4578569,50.9777195
Zemst Kleine Baan,4.456679,50.976444
Eppegem De Waterleest,4.4547245,50.9707785
Eppegem Molenhoek,4.4553867,50.9680405
Grimbergen Hellebeekberg,4.3684086,50.9153519
Grimbergen Rusthuis,4.3761364,50.9343506
Grimbergen Haneveld,4.359396,50.915194
Grimbergen Spaanse Linde,4.3651764,50.921331
Grimbergen Dr. Hemerijckxlaan,4.3657629,50.9259119
Grimbergen Rusthuis,4.3761651,50.9342385
Grimbergen Kerkhof,4.3808837,50.9349352
Grimbergen Nieuw Kwartier,4.4000819,50.9421288
Grimbergen Vliegplein,4.3964276,50.9486022
Grimbergen Lintkasteelstraat,4.3940615,50.9538329
Humbeek Plaskie,4.3946345,50.9605633
Humbeek Slikkestraat,4.392858,50.9660598
Humbeek Kapel,4.3926635,50.9700381
Humbeek Benedestraat,4.3880313,50.9754363
Berlaar Molenlei,4.639544,51.1189416
Lier Slenderstraat,4.5903731,51.112754
Duffel Hoogstraat,4.5448407,51.0911724
Duffel Lintse Beek,4.5362805,51.0913196
Duffel Enkelstraat,4.5260126,51.0927091
Duffel Berkhoevelaan,4.5205636,51.093395
Duffel Naalstraat,4.5059513,51.0855138
Duffel Varestraat,4.5013046,51.0832533
Duffel Spoorwegtunnel,4.4977292,51.0813004
Sint-Katelijne-Waver Lange Zandstraat,4.4867667,51.0693456
Sint-Katelijne-Waver Schouwvelden,4.4810609,51.063668
Sint-Katelijne-Waver Albertstraat,4.4799121,51.0603662
Sint-Katelijne-Waver Clemenceaustraat,4.4798706,51.055797
Mechelen Otterbeek,4.4681049,51.0471893
Mechelen Tuinbouwschool,4.4693901,51.0448728
Mechelen Netestraat,4.4712684,51.0416131
Mechelen Oscar Van Kesbeeckstraat,4.4730436,51.0384995
Mechelen Dodoens,4.4709299,51.0197023
Mechelen Fortuinstraat,4.4670717,51.0175183
Mechelen Procter & Gamble,4.4583952,51.0156132
Hombeek Dorp,4.4447538,51.0147008
Wijgmaal Driesstraat,4.6973872,50.9345638
Rotselaar Gemeentehuis,4.7083553,50.9524587
Werchter De Brug,4.6912526,50.96874
Schriek Grootlo Kerk,4.7099185,51.01307
Schriek Langstraat,4.7101698,51.0193305
Heist-op-den-Berg Lammeneelstraat,4.7174299,51.0398653
Heist-op-den-Berg Goor Kerk,4.7235483,51.0456185
Heist-op-den-Berg Liersesteenweg,4.7287214,51.0522215
Heist-op-den-Berg Eugeen Woutersstraat,4.7269524,51.077044
Hallaar Kerk,4.7289503,51.0836849
Hallaar Hallaaraard,4.7331421,51.0901668
Itegem Zagerij,4.7323126,51.094894
Itegem P. Berchaensstraat,4.7308458,51.0998953
Itegem Kerk (St-Guibertusplein),4.7293424,51.1031475
Itegem Leliestraat,4.7242356,51.1034167
Bevel Steynhoven,4.7087458,51.1331759
Kerkhoven Maaldersweg,5.2777809,51.1681458
Heverlee Groenveld,4.6849203,50.870148
Heverlee Groenveld,4.6843883,50.8698355
Heverlee Middelweg,4.6918309,50.856464
Wijgmaal Vaartbrug,4.6933428,50.9237652
Aarschot Rillaarsebaan,4.8359783,50.9679238
Aarschot Bloemsehoeve,4.8283765,51.0018495
Begijnendijk Waterstraat,4.8027367,51.0157819
Booischot Kleine Steenweg,4.7697135,51.0323131
Heist-op-den-Berg Hollestraat,4.7484222,51.0695066
Heist-op-den-Berg Tapelaarstraat,4.7375536,51.0729095
Heist-op-den-Berg Oude Godstraat,4.7329299,51.0736646
Hallaar Kerk,4.7291707,51.0838253
Hallaar Hallaaraard,4.7333462,51.0900846
Itegem Zagerij,4.7323956,51.0951083
Itegem P. Berchaensstraat,4.7309913,51.0994804
Itegem Leliestraat,4.7240944,51.1034955
Heverlee De Hemptinne,4.7105863,50.8526411
Heverlee De Hemptinne,4.7103301,50.8529205
Rotselaar Dorp,4.713705,50.9493642
Rotselaar Drielinden,4.7265792,50.9449904
Rotselaar Drielinden,4.7271733,50.9447988
Wilsele Jef Scherensstraat,4.7289385,50.9354822
Wilsele Jef Scherensstraat,4.7280808,50.934908
Wilsele Sint-Agathakerk,4.7236934,50.9289844
